name,nickname,country_code,age,height,average,global_position,value,wage,best_foot,weak_foot_5stars,heading,jump,long_pass,short_pass,dribbling,acceleration,speed,shot_power,long_shot,stamina,defense,interception,team_id_fk,game
Raheem Sterling,R. Sterling,gb-eng,23,170,87,Delantero,62000000.0,200000.0,Diestro,3,38,57,69,84,89,95,92,76,75,78,159,30,4,fifa19
Mauro Icardi,M. Icardi,ar,25,181,87,Delantero,62500000.0,130000.0,Diestro,4,91,94,54,73,77,77,78,84,70,69,89,22,14,fifa19
Carlos Henrique Venancio Casimiro,Casemiro,br,26,185,87,Centrocampista,50500000.0,225000.0,Diestro,3,76,88,82,83,69,61,66,86,81,87,257,86,6,fifa19
Heung Min Son,H. Son,kr,25,183,87,Delantero,61000000.0,170000.0,Diestro,5,65,63,68,83,88,88,87,88,90,87,115,39,7,fifa19
James Rodríguez,J. Rodríguez,co,26,180,87,Centrocampista,54000000.0,140000.0,Zurdo,3,62,54,83,89,85,71,66,86,92,70,137,55,9,fifa19
Lorenzo Insigne,L. Insigne,it,27,163,87,Delantero,53500000.0,130000.0,Diestro,4,59,53,78,87,90,94,86,79,85,75,97,26,11,fifa19
Francisco Román Alarcón Suárez,Isco,es,26,176,87,Centrocampista,59000000.0,250000.0,Diestro,3,55,64,81,86,94,75,69,69,85,64,175,64,6,fifa19
Keylor Navas,K. Navas,cr,31,185,87,Portero,30500000.0,190000.0,Diestro,3,11,74,37,30,16,54,53,21,13,39,56,20,6,fifa19
Ciro Immobile,C. Immobile,it,28,185,87,Delantero,52000000.0,110000.0,Diestro,4,81,77,49,74,83,78,85,86,80,80,99,40,15,fifa19
Thiago Alcântara,Thiago,es,27,174,87,Centrocampista,51500000.0,140000.0,Diestro,3,54,75,87,90,90,78,69,76,79,75,205,78,9,fifa19
Jordi Alba Ramos,Jordi Alba,es,29,170,87,Defensa,38000000.0,250000.0,Zurdo,3,70,81,74,84,80,93,93,64,66,91,242,84,0,fifa19
Toby Alderweireld,T. Alderweireld,be,29,186,87,Defensa,39000000.0,160000.0,Diestro,3,82,84,85,79,62,61,67,78,65,78,267,87,7,fifa19
Dries Mertens,D. Mertens,be,31,169,87,Delantero,45000000.0,130000.0,Diestro,4,35,60,74,82,91,93,85,80,81,75,105,36,11,fifa19
Jan Vertonghen,J. Vertonghen,be,31,189,87,Defensa,34000000.0,150000.0,Zurdo,3,80,85,74,79,71,61,65,80,66,75,264,89,7,fifa19
Ivan Rakitić,I. Rakitić,hr,30,184,87,Centrocampista,46500000.0,250000.0,Diestro,4,59,39,90,87,82,66,62,84,87,83,224,81,0,fifa19
Gonzalo Higuaín,G. Higuaín,ar,30,186,87,Delantero,48500000.0,200000.0,Diestro,4,79,79,60,75,83,69,71,86,80,70,75,20,5,fifa19
Fernando Luiz Rosa,Fernandinho,br,33,179,87,Centrocampista,20500000.0,200000.0,Diestro,4,66,78,83,86,77,68,67,83,78,84,253,89,4,fifa19
Milan Škriniar,M. Škriniar,sk,23,187,86,Defensa,53500000.0,90000.0,Diestro,4,82,78,69,73,59,70,73,50,30,77,265,86,14,fifa19
Leroy Sané,L. Sané,de,22,183,86,Delantero,61000000.0,190000.0,Zurdo,3,72,64,64,79,88,93,96,87,78,79,103,34,4,fifa19
Bernardo Mota Carvalho e Silva,Bernardo Silva,pt,23,173,86,Centrocampista,59500000.0,180000.0,Zurdo,3,51,50,79,85,92,86,78,70,72,89,148,49,4,fifa19
Joshua Kimmich,J. Kimmich,de,23,176,86,Defensa,45000000.0,100000.0,Diestro,4,74,79,83,87,80,78,68,75,69,94,235,80,9,fifa19
Aymeric Laporte,A. Laporte,fr,24,189,86,Defensa,47500000.0,160000.0,Zurdo,3,86,76,78,79,60,62,66,68,47,71,265,87,4,fifa19
Ederson Santana de Moraes,Ederson,br,24,188,86,Portero,41500000.0,120000.0,Zurdo,3,14,66,58,56,23,64,63,42,18,41,52,27,4,fifa19
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,br,26,181,86,Delantero,53000000.0,190000.0,Diestro,4,77,81,75,86,88,78,77,81,76,90,166,58,10,fifa19
Raphaël Varane,R. Varane,fr,25,191,86,Defensa,50000000.0,200000.0,Diestro,3,83,79,76,75,57,83,85,52,53,73,262,82,6,fifa19
Marco Verratti,M. Verratti,it,25,165,86,Centrocampista,55000000.0,130000.0,Diestro,4,55,64,89,90,90,69,62,56,58,77,241,84,2,fifa19
Romelu Lukaku,R. Lukaku,be,25,190,86,Delantero,55000000.0,200000.0,Zurdo,4,85,71,71,76,78,76,89,88,74,79,90,27,8,fifa19
Alex Sandro Lobo Silva,Alex Sandro,br,27,180,86,Defensa,36500000.0,160000.0,Zurdo,3,76,79,71,81,80,83,86,80,72,92,249,82,1,fifa19
Thomas Müller,T. Müller,de,28,186,86,Centrocampista,45000000.0,130000.0,Diestro,4,82,81,72,83,75,73,75,78,80,87,129,58,9,fifa19
Philippe Coutinho Correia,Coutinho,br,26,172,86,Delantero,47500000.0,250000.0,Diestro,4,48,59,83,85,91,87,75,83,92,79,156,49,0,fifa19
Wojciech Szczęsny,W. Szczęsny,pl,28,195,86,Portero,37000000.0,130000.0,Diestro,3,16,71,36,32,11,51,47,15,14,45,45,15,1,fifa19
Leonardo Bonucci,L. Bonucci,it,31,190,86,Defensa,30000000.0,160000.0,Diestro,4,86,85,85,77,69,57,65,74,65,71,256,90,1,fifa19
Miralem Pjanić,M. Pjanić,ba,28,178,86,Centrocampista,44000000.0,180000.0,Diestro,4,60,61,85,91,86,69,69,78,82,82,222,78,1,fifa19
Marcelo Vieira da Silva,Marcelo,br,30,174,86,Defensa,32000000.0,225000.0,Zurdo,4,75,76,78,84,90,83,82,83,70,87,234,82,6,fifa19
Gareth Bale,G. Bale,gb-wls,28,185,86,Delantero,45000000.0,275000.0,Zurdo,3,84,87,80,82,84,92,94,92,90,75,161,59,6,fifa19
Karim Benzema,K. Benzema,fr,30,185,86,Delantero,43000000.0,250000.0,Diestro,4,80,73,70,83,85,78,76,81,76,79,89,28,6,fifa19
Gianluigi Buffon,G. Buffon,it,40,192,86,Portero,3000000.0,60000.0,Diestro,2,13,75,35,37,26,44,38,39,13,39,35,28,2,fifa19
Matthijs de Ligt,M. de Ligt,nl,18,189,85,Defensa,44000000.0,15000.0,Diestro,4,84,84,75,76,66,62,72,82,64,75,250,82,16,fifa19
Sergej Milinković-Savić,S. Milinković-Savić,rs,23,191,85,Centrocampista,50500000.0,70000.0,Diestro,4,86,85,85,85,86,68,70,83,80,85,224,78,15,fifa19
Bruno Miguel Borges Fernandes,Bruno Fernandes,pt,23,179,85,Centrocampista,50000000.0,20000.0,Diestro,4,58,72,86,85,85,79,76,89,88,91,189,74,17,fifa19
Dele Alli,D. Alli,gb-eng,22,188,85,Centrocampista,51500000.0,120000.0,Diestro,3,83,67,80,85,83,73,76,78,80,90,203,74,7,fifa19
Fábio Henrique Tavares,Fabinho,br,24,188,85,Centrocampista,42500000.0,130000.0,Diestro,2,75,75,82,83,76,69,72,78,65,92,255,86,10,fifa19
Hakim Ziyech,H. Ziyech,ma,25,181,85,Centrocampista,46000000.0,30000.0,Zurdo,2,53,38,89,86,84,77,76,80,77,85,152,62,16,fifa19
Saúl Ñíguez Esclápez,Saúl,es,23,184,85,Centrocampista,50500000.0,80000.0,Zurdo,4,83,79,83,85,80,74,73,82,81,86,230,78,3,fifa19
Marcos Aoás Corrêa,Marquinhos,br,24,183,85,Defensa,43500000.0,100000.0,Diestro,3,84,88,80,81,62,73,76,61,35,75,259,85,2,fifa19
Daniel Carvajal Ramos,Carvajal,es,26,173,85,Defensa,36500000.0,200000.0,Diestro,3,70,76,74,83,78,80,85,64,36,89,251,83,6,fifa19
Riyad Mahrez,R. Mahrez,dz,27,179,85,Delantero,40500000.0,200000.0,Zurdo,4,48,61,75,78,90,88,83,79,80,76,94,39,4,fifa19
Anthony Lopes,A. Lopes,pt,27,184,85,Portero,31000000.0,80000.0,Zurdo,2,16,82,31,32,15,63,64,20,18,36,41,25,18,fifa19
Jorge Resurrección,Koke,es,26,176,85,Centrocampista,41500000.0,90000.0,Diestro,4,61,63,87,89,80,72,69,84,81,92,210,72,3,fifa19
Alexandre Lacazette,A. Lacazette,fr,27,175,85,Delantero,41000000.0,180000.0,Diestro,4,73,76,59,80,85,81,84,85,75,79,101,42,12,fifa19
Kostas Manolas,K. Manolas,gr,27,189,85,Defensa,36500000.0,100000.0,Diestro,2,80,86,61,60,54,83,85,40,12,76,263,86,19,fifa19
Douglas Costa de Souza,Douglas Costa,br,27,172,85,Centrocampista,40500000.0,160000.0,Zurdo,3,50,61,68,84,92,97,93,86,80,78,117,48,1,fifa19
Daniel Parejo Muñoz,Parejo,es,29,182,85,Centrocampista,37000000.0,70000.0,Diestro,4,61,51,88,91,78,54,46,78,82,78,200,81,20,fifa19
Roman Bürki,R. Bürki,ch,27,187,85,Portero,30000000.0,70000.0,Diestro,2,17,74,24,37,12,44,54,22,14,36,40,18,13,fifa19
César Azpilicueta Tanco,Azpilicueta,es,28,178,85,Defensa,30500000.0,160000.0,Diestro,3,75,76,80,81,69,75,73,68,60,87,262,87,5,fifa19
Yacine Brahimi,Y. Brahimi,dz,28,175,85,Centrocampista,39000000.0,30000.0,Diestro,3,46,72,72,79,93,87,75,69,76,85,112,38,21,fifa19
Ángel Di María,Á. Di María,ar,30,180,85,Delantero,36500000.0,140000.0,Zurdo,2,51,72,79,83,86,85,84,83,80,78,153,38,2,fifa19
Arturo Vidal,A. Vidal,cl,31,180,85,Centrocampista,33000000.0,225000.0,Diestro,4,82,85,82,83,77,67,62,86,85,85,254,84,0,fifa19
Mario Mandžukić,M. Mandžukić,hr,32,190,85,Delantero,30500000.0,170000.0,Diestro,3,90,85,67,75,78,67,73,83,63,83,187,66,1,fifa19
Ivan Perišić,I. Perišić,hr,29,186,85,Centrocampista,37500000.0,110000.0,Diestro,5,80,84,77,81,84,84,88,84,79,89,170,69,14,fifa19
Edin Džeko,E. Džeko,ba,32,193,85,Delantero,30500000.0,110000.0,Diestro,5,83,66,72,77,76,65,66,86,79,76,102,50,19,fifa19
Radja Nainggolan,R. Nainggolan,be,30,176,85,Centrocampista,35500000.0,100000.0,Diestro,3,59,76,81,84,80,78,73,84,86,93,259,86,14,fifa19
Axel Witsel,A. Witsel,be,29,188,85,Centrocampista,30000000.0,80000.0,Diestro,4,81,76,84,89,78,67,73,78,77,86,248,80,13,fifa19
Mesut Özil,M. Özil,de,29,180,85,Centrocampista,37500000.0,170000.0,Zurdo,2,51,48,82,89,84,73,69,70,74,67,59,24,12,fifa19
Blaise Matuidi,B. Matuidi,fr,31,180,85,Centrocampista,26000000.0,140000.0,Zurdo,2,68,84,77,83,78,79,77,78,70,94,257,86,1,fifa19
Filipe Luís Kasmirski,Filipe Luís,br,32,182,85,Defensa,21500000.0,80000.0,Zurdo,3,72,69,77,80,77,76,75,71,60,89,248,84,3,fifa19
Képler Laveran Lima Ferreira,Pepe,pt,35,188,85,Defensa,9000000.0,20000.0,Diestro,3,80,76,61,71,58,65,70,63,56,60,253,85,21,fifa19
Zlatan Ibrahimović,Z. Ibrahimović,se,36,195,85,Delantero,14000000.0,15000.0,Diestro,4,83,68,73,77,77,57,55,90,88,59,89,20,22,fifa19
Ousmane Dembélé,O. Dembélé,fr,21,178,84,Delantero,46000000.0,170000.0,Zurdo,5,43,59,70,79,91,94,93,83,78,76,105,36,0,fifa19
Frenkie de Jong,F. de Jong,nl,21,181,84,Centrocampista,42000000.0,20000.0,Diestro,3,64,76,84,89,88,80,78,68,57,83,226,80,16,fifa19
Marco Asensio Willemsen,Marco Asensio,es,22,182,84,Delantero,41500000.0,190000.0,Zurdo,3,57,58,81,83,85,85,82,86,88,76,121,45,6,fifa19
Clément Lenglet,C. Lenglet,fr,23,186,84,Defensa,36500000.0,160000.0,Zurdo,4,83,86,73,79,60,72,75,58,46,76,253,85,0,fifa19
Nabil Fekir,N. Fekir,fr,24,173,84,Centrocampista,39500000.0,80000.0,Zurdo,3,49,64,75,83,90,79,79,84,82,77,93,28,18,fifa19
José María Giménez,J. Giménez,uy,23,185,84,Defensa,34000000.0,60000.0,Diestro,3,81,90,58,68,47,69,70,72,48,67,261,85,3,fifa19
Alex Nicolao Telles,Alex Telles,br,25,181,84,Defensa,31000000.0,20000.0,Zurdo,2,74,81,86,83,82,84,85,80,75,92,240,80,21,fifa19
Niklas Süle,N. Süle,de,22,195,84,Defensa,36500000.0,80000.0,Diestro,3,86,38,63,78,42,52,84,77,62,65,251,82,9,fifa19
Timo Werner,T. Werner,de,22,180,84,Delantero,40000000.0,80000.0,Diestro,4,77,78,55,77,83,93,93,78,70,83,78,37,23,fifa19
Anthony Martial,A. Martial,fr,22,184,84,Delantero,42500000.0,160000.0,Diestro,3,69,74,60,78,88,88,89,84,79,75,109,42,8,fifa19
Leon Goretzka,L. Goretzka,de,23,189,84,Centrocampista,40000000.0,90000.0,Diestro,4,80,74,79,84,81,84,79,79,81,86,222,82,9,fifa19
Kepa Arrizabalaga,Kepa,es,23,186,84,Portero,31000000.0,90000.0,Diestro,4,17,71,36,32,10,34,33,25,14,37,53,21,5,fifa19
Serge Gnabry,S. Gnabry,de,22,175,84,Centrocampista,39500000.0,90000.0,Diestro,4,44,64,69,79,87,92,90,85,81,72,132,38,9,fifa19
Edin Višća,E. Višća,ba,28,172,84,Centrocampista,31500000.0,50000.0,Diestro,4,45,69,71,82,83,90,89,79,77,90,135,52,24,fifa19
Florian Thauvin,F. Thauvin,fr,25,179,84,Centrocampista,37000000.0,70000.0,Zurdo,3,75,76,76,83,85,87,80,83,82,83,106,42,25,fifa19
Memphis Depay,M. Depay,nl,24,176,84,Delantero,41000000.0,90000.0,Diestro,3,65,74,74,80,84,87,87,87,81,79,80,28,18,fifa19
Felipe Anderson Pereira Gomes,Felipe Anderson,br,25,175,84,Centrocampista,37000000.0,120000.0,Diestro,4,44,37,76,81,90,92,89,86,84,74,161,69,26,fifa19
Allan Marques Loureiro,Allan,br,27,175,84,Centrocampista,32000000.0,100000.0,Diestro,3,59,70,78,85,83,81,74,70,69,95,257,88,11,fifa19
Francesco Acerbi,F. Acerbi,it,30,192,84,Defensa,23000000.0,70000.0,Zurdo,3,82,68,77,73,65,65,55,75,60,84,260,86,15,fifa19
Dušan Tadić,D. Tadić,rs,29,181,84,Centrocampista,30500000.0,30000.0,Zurdo,2,63,62,80,84,86,69,69,75,72,86,108,37,16,fifa19
Stefan de Vrij,S. de Vrij,nl,26,189,84,Defensa,30000000.0,90000.0,Diestro,4,80,76,71,73,66,67,69,65,60,66,259,87,14,fifa19
Mattia Perin,M. Perin,it,25,188,84,Portero,29500000.0,100000.0,Diestro,3,12,75,31,33,19,57,56,23,17,30,51,19,1,fifa19
Luis Miguel Afonso Fernandes,Pizzi,pt,28,177,84,Centrocampista,31500000.0,20000.0,Diestro,4,45,67,84,85,81,82,73,76,78,84,184,70,27,fifa19
David Alaba,D. Alaba,at,26,180,84,Defensa,29500000.0,100000.0,Zurdo,4,75,82,79,82,79,79,86,83,82,85,240,82,9,fifa19
Norberto Murara Neto,Neto,br,28,190,84,Portero,25000000.0,50000.0,Diestro,2,14,83,41,36,19,56,52,28,20,41,46,15,20,fifa19
Juan Cuadrado,J. Cuadrado,co,30,179,84,Centrocampista,29500000.0,150000.0,Diestro,3,58,75,69,80,90,89,93,84,80,78,207,62,1,fifa19
Iago Aspas Juncal,Iago Aspas,es,30,175,84,Delantero,30000000.0,50000.0,Zurdo,3,78,68,64,79,86,85,78,79,82,75,78,39,28,fifa19
Nicolás Otamendi,N. Otamendi,ar,30,183,84,Defensa,23000000.0,160000.0,Diestro,3,84,92,72,75,51,57,61,69,56,67,251,83,4,fifa19
Lukáš Hrádecký,L. Hrádecký,fi,28,192,84,Portero,22000000.0,70000.0,Diestro,3,11,69,20,15,10,38,44,14,14,34,33,18,29,fifa19
Asier Illarramendi,Illarramendi,es,28,179,84,Centrocampista,25000000.0,50000.0,Diestro,3,51,63,82,86,78,66,57,69,76,77,246,87,30,fifa19
Kyle Walker,K. Walker,gb-eng,28,183,84,Defensa,24500000.0,160000.0,Diestro,2,74,83,75,78,79,87,94,86,69,89,245,81,4,fifa19
José Paulo Bezerra M. Júnior,Paulinho,br,29,183,84,Centrocampista,30000000.0,40000.0,Diestro,3,85,92,80,83,80,74,71,83,80,92,229,80,31,fifa19
İlkay Gündoğan,İ. Gündoğan,de,27,180,84,Centrocampista,32000000.0,170000.0,Diestro,4,50,61,85,88,84,67,68,77,72,69,207,77,4,fifa19
José María Callejón Bueno,José Callejón,es,31,178,84,Centrocampista,27500000.0,100000.0,Diestro,3,65,73,51,80,82,88,89,78,80,91,128,40,11,fifa19
Jérôme Boateng,J. Boateng,de,29,192,84,Defensa,24000000.0,100000.0,Diestro,4,85,73,82,75,64,66,71,78,58,69,256,81,9,fifa19
Willian Borges da Silva,Willian,br,29,175,84,Delantero,30500000.0,170000.0,Diestro,4,31,41,77,80,88,91,86,84,81,85,151,55,5,fifa19
Sami Khedira,S. Khedira,de,31,189,84,Centrocampista,26500000.0,150000.0,Diestro,4,76,68,82,85,81,54,60,82,78,74,239,86,1,fifa19
Diego da Silva Costa,Diego Costa,es,29,188,84,Delantero,31000000.0,90000.0,Diestro,4,82,64,52,65,77,74,76,83,74,76,131,40,3,fifa19
Éver Banega,É. Banega,ar,30,174,84,Centrocampista,29000000.0,30000.0,Diestro,4,49,57,87,88,83,68,64,74,78,74,218,76,32,fifa19
Yann Sommer,Y. Sommer,ch,29,183,84,Portero,24000000.0,40000.0,Diestro,4,10,73,31,40,15,48,54,23,12,45,40,21,33,fifa19
Lucas Pezzini Leiva,Lucas Leiva,br,31,179,84,Centrocampista,21000000.0,70000.0,Diestro,3,72,82,81,82,77,67,67,77,66,84,247,87,15,fifa19
Sokratis Papastathopoulos,Sokratis,gr,30,186,84,Defensa,23000000.0,140000.0,Diestro,2,85,86,54,65,58,67,76,77,48,72,257,76,12,fifa19
Marek Hamšík,M. Hamšík,sk,30,183,84,Centrocampista,29000000.0,30000.0,Diestro,5,74,70,83,86,84,70,68,82,78,81,207,72,34,fifa19
Stéphane Ruffier,S. Ruffier,fr,31,188,84,Portero,19000000.0,40000.0,Diestro,3,12,72,34,33,12,45,50,21,11,37,36,25,35,fifa19
Radamel Falcao García Zarate,Falcao,co,32,177,84,Delantero,25000000.0,110000.0,Diestro,4,89,91,58,79,74,69,66,79,77,68,100,41,36,fifa19
Raúl Albiol Tortajada,Raúl Albiol,es,32,190,84,Defensa,18000000.0,90000.0,Diestro,3,77,77,72,74,59,54,53,65,53,50,261,86,11,fifa19
Alejandro Gómez,A. Gómez,ar,30,165,84,Centrocampista,29500000.0,50000.0,Diestro,4,38,70,74,81,85,94,86,76,79,75,114,40,37,fifa19
Vincent Kompany,V. Kompany,be,32,190,84,Defensa,18000000.0,160000.0,Diestro,3,83,72,66,73,63,49,53,73,55,65,254,82,4,fifa19
Jiří Pavlenka,J. Pavlenka,cz,26,196,83,Portero,21500000.0,30000.0,Diestro,3,14,36,17,28,12,35,37,21,17,20,36,13,38,fifa19
Kai Havertz,K. Havertz,de,19,188,83,Centrocampista,35500000.0,40000.0,Zurdo,4,73,69,78,85,84,77,86,71,75,76,123,38,29,fifa19
Rodrigo Hernández Cascante,Rodri,es,22,191,83,Centrocampista,29500000.0,60000.0,Diestro,3,75,69,82,86,77,69,67,70,76,82,234,82,3,fifa19
Marcus Rashford,M. Rashford,gb-eng,20,186,83,Delantero,37500000.0,130000.0,Diestro,3,73,68,65,76,84,90,93,87,79,86,110,42,8,fifa19
Gabriel Fernando de Jesus,Gabriel Jesus,br,21,175,83,Delantero,37000000.0,130000.0,Diestro,3,75,77,66,76,86,87,85,78,73,84,95,32,4,fifa19
Arthur Henrique Ramos Oliveira Melo,Arthur,br,21,171,83,Centrocampista,36000000.0,140000.0,Diestro,3,58,78,82,87,84,72,68,76,74,78,216,77,0,fifa19
Gianluigi Donnarumma,G. Donnarumma,it,19,196,83,Portero,33500000.0,30000.0,Diestro,3,12,72,24,34,28,46,54,24,18,34,50,26,39,fifa19
Ronaldo Jailson Cabrais Petri,Ronaldo Cabrais,br,26,177,83,Delantero,28000000.0,50000.0,Diestro,4,64,64,82,83,85,88,87,82,78,86,92,40,40,fifa19
Josué Durval Chiamulera Vaz,Josué Chiamulera,br,26,185,83,Defensa,22500000.0,40000.0,Diestro,3,83,69,61,74,56,83,78,53,41,76,254,84,40,fifa19
Lourival Adnan Beretta Barbosa,Louri Beretta,br,26,188,83,Delantero,28500000.0,60000.0,Diestro,3,83,84,47,73,75,79,83,85,82,56,77,32,41,fifa19
Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes,pt,21,179,83,Centrocampista,35500000.0,40000.0,Diestro,4,60,65,69,77,86,91,90,84,82,75,88,50,20,fifa19
Naby Keïta,N. Keïta,gn,23,172,83,Centrocampista,34000000.0,120000.0,Diestro,4,42,53,77,87,88,78,64,76,73,82,194,76,10,fifa19
